"rep","decision"
1,0
2,1
3,0
4,1
5,1
6,1
7,0
8,0
9,1
10,1
11,1
12,0
13,1
14,1
15,1
16,0
17,1
18,0
19,0
20,0
21,1
22,0
23,0
24,0
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,0
33,1
34,1
35,0
36,0
37,1
38,0
39,1
40,1
41,1
42,0
43,0
44,1
45,0
46,1
47,1
48,0
49,0
50,0
51,1
52,0
53,1
54,0
55,1
56,1
57,0
58,1
59,1
60,0
61,1
62,1
63,1
64,1
65,0
66,0
67,1
68,1
69,1
70,0
71,1
72,1
73,1
74,1
75,0
76,1
77,1
78,1
79,1
80,0
81,0
82,0
83,0
84,0
85,1
86,1
87,1
88,1
89,1
90,1
91,0
92,1
93,1
94,1
95,0
96,1
97,0
98,1
99,0
100,1
