"Lambda","sub_1","sub_2","sub_3","sub_4","sub_5","sub_6","sub_7","sub_8","sub_9","sub_10"
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.0103448275862069,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
0.0206896551724138,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
0.0310344827586207,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
0.0413793103448276,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
0.0517241379310345,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
0.0620689655172414,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
0.0724137931034483,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
0.0827586206896552,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
0.0931034482758621,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
0.103448275862069,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
0.113793103448276,0.13,0.01,0.01,0.08,0.02,0.02,0.03,0.15,0.01,0.13
0.124137931034483,0.31,0.06,0.03,0.22,0.06,0.03,0.07,0.35,0.04,0.18
0.13448275862069,0.74,0.29,0.09,0.53,0.29,0.1,0.2,0.82,0.14,0.53
0.144827586206897,0.99,0.53,0.26,0.84,0.59,0.3,0.36,0.99,0.41,0.91
0.155172413793103,0.99,0.89,0.37,0.99,0.85,0.57,0.54,0.97,0.6,0.98
0.16551724137931,0.94,0.98,0.64,1,0.91,0.83,0.52,0.85,0.86,0.93
0.175862068965517,0.72,0.97,0.85,0.93,0.93,0.95,0.41,0.65,0.84,0.68
0.186206896551724,0.54,0.95,0.84,0.79,0.86,0.92,0.41,0.43,0.74,0.6
0.196551724137931,0.3,0.76,0.96,0.68,0.7,0.84,0.28,0.3,0.67,0.44
0.206896551724138,0.17,0.56,0.76,0.43,0.54,0.78,0.22,0.17,0.57,0.22
0.217241379310345,0.16,0.47,0.77,0.29,0.36,0.54,0.15,0.15,0.41,0.18
0.227586206896552,0.07,0.16,0.63,0.25,0.31,0.31,0.17,0.05,0.22,0.18
0.237931034482759,0.09,0.17,0.38,0.16,0.19,0.28,0.12,0.04,0.21,0.09
0.248275862068966,0.03,0.26,0.31,0.09,0.18,0.22,0.07,0.04,0.14,0.06
0.258620689655172,0.03,0.12,0.2,0.12,0.13,0.15,0.06,0.06,0.05,0.04
0.268965517241379,0.01,0.05,0.18,0.07,0.07,0.06,0.01,0.01,0.07,0.03
0.279310344827586,0.02,0.06,0.14,0.05,0.1,0.05,0.02,0.02,0.05,0.02
0.289655172413793,0.03,0.05,0.11,0.01,0.06,0.06,0.01,0.01,0.07,0.01
0.3,0.01,0.02,0.1,0.04,0.05,0.07,0.01,0.01,0.03,0.02
