"method","budget","power","sd_rej"
"BNRE",16,0.703333333333333,0.0263726850835958
"NRE",16,0.933333333333333,0.0144016459964619
"BNRE",128,0.706666666666667,0.0262861743691044
"NRE",128,0.378333333333333,0.0279998346555965
"BNRE",512,0.301666666666667,0.0264993011787663
"NRE",512,0.0633333333333333,0.0140620318852128
"BNRE",4096,0.0583333333333333,0.0135315132875762
"NRE",4096,0.0533333333333333,0.0129729062394013
"BNRE",32768,0.19,0.0226495033058122
"NRE",32768,0.0416666666666667,0.0115369775873862
